clean_name,Voto,Fantavoto,Giornata
nelsson,5.5,5.5,1
belghali,6.0,5.5,1
cham,6.0,6.0,1
niasse,5.5,5.5,1
harroui,6.0,6.0,1
serdar,7.0,10.0,1
bernede,5.5,5.5,1
sarr a,5.5,5.5,1
mosquera,6.0,6.0,1
giovane,7.0,8.0,1
zanetti,6.0,6.0,1
carnesecchi,6.0,5.0,2
zappacosta,6.0,6.0,2
djimsiti,6.0,6.0,2
bellanova,6.0,6.0,2
scalvini,5.5,5.5,2
hien,5.5,5.0,2
de roon,6.5,6.0,2
pasalic,7.0,10.0,2
maldini,5.5,5.5,2
zalewski,6.0,6.0,2
scamacca,6.0,6.0,2
sulemana k,5.5,5.5,2
de ketelaere,6.0,6.0,2
krstovic,6.5,7.5,2
juric,6.0,6.0,2
skorupski,6.0,6.0,2
lykogiannis,5.5,5.5,2
zortea,6.0,6.0,2
lucumì,6.5,6.0,2
vitik,6.0,5.5,2
heggem,7.0,7.0,2
freuler,6.5,6.5,2
orsolini,7.0,10.0,2
odgaard,6.0,6.0,2
pobega,6.0,5.5,2
moro n,5.5,5.5,2
fabbian,6.0,6.0,2
cambiaghi,6.5,6.0,2
castro s,6.5,7.5,2
dallinga,6.0,6.0,2
italiano,6.5,6.5,2
caprile,6.5,5.5,2
luperto,6.5,6.5,2
mina,6.0,6.0,2
zappa,6.0,5.5,2
obert,5.5,5.5,2
palestra,6.5,6.5,2
deiola,6.0,6.0,2
gaetano,5.5,5.5,2
adopo,6.0,6.0,2
folorunsho,6.0,6.0,2
prati,6.5,6.5,2
esposito se,6.0,6.0,2
luvumbo,6.5,6.5,2
borrelli,5.5,5.5,2
pisacane,6.0,6.0,2
butez,6.0,5.0,2
vojvoda,6.0,5.5,2
valle,5.5,5.5,2
ramon,5.5,5.0,2
kempf,6.0,6.0,2
van der brempt,6.0,6.0,2
smolcic i,5.5,5.0,2
sergi roberto,6.0,6.0,2
da cunha,6.0,6.0,2
perrone,5.5,5.0,2
paz n,6.5,6.5,2
morata,5.5,5.5,2
douvikas,5.5,5.5,2
kuhn,5.5,5.5,2
rodriguez je,5.5,5.5,2
fabregas,6.0,5.5,2
audero,6.0,4.0,2
bianchetti,6.0,6.0,2
pezzella giu,6.0,6.0,2
terracciano f,6.5,9.5,2
baschirotto,5.5,5.5,2
floriani mussolini,6.5,6.5,2
grassi,5.0,5.0,2
vazquez,7.0,10.0,2
bondo,6.0,6.0,2
zerbin,6.5,6.5,2
payero,6.0,6.0,2
collocolo,6.5,6.5,2
vandeputte,7.0,8.0,2
sanabria,6.5,7.0,2
de luca,7.0,10.0,2
okereke,6.0,6.0,2
nicola,6.5,6.5,2
de gea,6.5,6.5,2
gosens,6.0,6.0,2
ranieri l,6.5,6.5,2
pongracic,6.0,5.5,2
dodò,7.0,7.0,2
comuzzo,6.5,6.5,2
kouadio,6.0,6.0,2
mandragora,6.0,6.0,2
fagioli,5.5,5.5,2
sohm,6.0,5.5,2
gudmundsson a,5.0,5.0,2
ndour,5.5,5.5,2
kean,5.0,5.0,2
piccoli,6.0,6.0,2
pioli,5.5,5.5,2
leali,7.0,6.0,2
martin,6.0,6.0,2
vasquez,6.0,6.0,2
ostigard,5.5,5.0,2
norton-cuffy,6.5,6.5,2
thorsby,6.0,6.0,2
malinovskyi,6.0,6.0,2
frendrup,6.0,6.0,2
ellertsson,6.5,6.5,2
carboni v,5.5,5.5,2
masini,6.5,6.5,2
stanciu,6.0,6.0,2
colombo,5.5,5.5,2
ekuban,6.0,6.0,2
vieira p,6.0,6.0,2
sommer,6.0,4.0,2
dimarco,6.0,6.0,2
acerbi,5.5,5.5,2
bastoni,5.5,5.5,2
dumfries,6.5,9.5,2
bisseck,5.0,5.0,2
barella,5.5,5.5,2
calhanoglu,5.0,5.0,2
mkhitaryan,5.5,5.5,2
sucic p,5.0,5.0,2
martinez l,5.5,5.0,2
thuram,6.5,7.5,2
esposito fp,6.0,6.0,2
chivu,5.0,5.0,2
di gregorio,6.5,6.5,2
bremer,6.0,6.0,2
kalulu,5.5,5.5,2
gatti,6.5,6.5,2
kelly l,6.0,6.0,2
joao mario,6.0,5.5,2
locatelli,6.5,6.5,2
kostic,6.5,7.5,2
thuram k,6.0,6.0,2
koopmeiners,6.0,5.5,2
conceicao,6.0,6.0,2
vlahovic,7.0,10.0,2
david,5.0,5.0,2
yildiz,6.0,6.0,2
tudor,6.5,6.5,2
provedel,6.0,6.0,2
marusic,6.0,6.0,2
pellegrini lu,6.0,6.0,2
tavares n,6.0,6.0,2
gila,6.0,6.0,2
provstgaard,6.5,6.5,2
zaccagni,7.5,10.5,2
guendouzi,7.0,10.0,2
rovella,6.5,7.5,2
belahyane,6.5,7.5,2
dele-bashiru,6.0,6.0,2
pedro,6.0,6.0,2
cancellieri,6.0,6.0,2
dia,7.0,10.0,2
castellanos,8.5,13.5,2
sarri,8.0,8.0,2
falcone,6.5,4.5,2
gallo,5.5,5.5,2
gaspar k,5.0,4.5,2
tiago gabriel,5.5,5.5,2
veiga d,5.0,5.0,2
sottil,5.5,5.5,2
coulibaly l,6.0,6.0,2
berisha m,5.5,5.5,2
ramadani,6.0,6.0,2
kaba,6.0,6.0,2
pierotti,6.0,6.0,2
tete morente,6.0,6.0,2
camarda,5.5,5.5,2
stulic,5.5,5.5,2
di francesco,6.0,6.0,2
maignan,6.0,6.0,2
gabbia,6.0,6.0,2
tomori,6.0,6.0,2
pavlovic,6.5,6.5,2
estupinan,6.0,6.0,2
pulisic,7.0,10.0,2
modric,6.5,7.5,2
loftus-cheek,7.0,10.0,2
fofana y,6.0,6.0,2
saelemaekers,6.5,6.5,2
musah,6.5,6.5,2
ricci s,6.0,6.0,2
gimenez,5.5,5.5,2
allegri,6.5,6.5,2
meret,6.0,6.0,2
juan jesus,6.0,5.5,2
spinazzola,6.0,6.0,2
buongiorno,6.5,7.5,2
di lorenzo,6.0,6.0,2
rrahmani,6.0,6.0,2
politano,6.5,6.5,2
de bruyne,5.5,5.0,2
zambo anguissa,7.0,10.0,2
lobotka,6.0,6.0,2
mctominay,6.0,6.0,2
lucca,5.5,5.5,2
ambrosino,6.0,6.0,2
conte,6.5,6.5,2
suzuki,6.0,5.0,2
valenti,5.5,5.0,2
valeri,6.0,6.0,2
circati,6.0,6.0,2
delprato,6.5,6.5,2
lovik,5.5,5.5,2
oristanio,6.5,6.0,2
bernabè,6.5,6.5,2
keita m,5.0,5.0,2
sorensen o,5.5,5.5,2
cutrone,7.0,10.0,2
almqvist,6.0,6.0,2
pellegrino m,6.0,6.0,2
cuesta,6.0,6.0,2
